show_id,Title,genre,avg_rating,num_episodes
drama_0000,Move to Heaven,"Life,  Drama,  Family ",9.2,10
drama_0001,Twinkling Watermelon,"Romance, Youth, Drama, Fantasy",9.2,16
drama_0002,Moving,"Action, Thriller, Mystery, Supernatural",9.1,20
drama_0003,The Trauma Code: Heroes on Call ,"Action, Comedy, Drama, Medical",9.1,8
drama_0004,Flower of Evil,"Thriller,  Romance,  Crime,  Melodrama ",9.1,16
drama_0005,Hospital Playlist,"Friendship,  Romance,  Life,  Medical ",9.1,12
drama_0006,Hospital Playlist 2,"Friendship,  Romance,  Life,  Medical ",9.1,12
drama_0007,My Mister,"Psychological,  Life,  Drama,  Family ",9.1,16
drama_0008,Reply 1988,"Comedy,  Romance,  Youth,  Family ",9.1,20
drama_0009,Weak Hero Class 1,"Action, Youth, Drama",9.1,8
drama_0010,Prison Playbook,"Comedy,  Crime,  Life,  Drama ",9.1,16
drama_0011,Lovely Runner,"Music, Comedy, Romance, Fantasy",9.0,16
drama_0012,Alchemy of Souls,"Action, Historical, Romance, Fantasy ",9.0,20
drama_0013,Study Group,"Action, Thriller, Comedy, Youth",9.0,10
drama_0014,Extraordinary Attorney Woo,"Law, Romance, Life, Drama ",9.0,16
drama_0015,Mr. Queen,"Historical,  Mystery,  Comedy,  Romance ",9.0,20
drama_0016,Mother,"Thriller,  Mystery,  Psychological,  Melodrama ",9.0,16
drama_0017,It's Okay to Not Be Okay,"Psychological,  Comedy,  Romance,  Drama ",9.0,16
drama_0018,Crash Landing on You,"Military,  Comedy,  Romance,  Political ",9.0,16
drama_0019,Vincenzo,"Comedy,  Law,  Crime,  Drama ",9.0,20
drama_0020,Navillera,"Friendship,  Life,  Drama,  Family ",9.0,12
drama_0021,Signal,"Thriller,  Mystery,  Sci-Fi ",9.0,16
drama_0022,Mr. Sunshine,"Military,  Historical,  Romance,  Melodrama ",8.9,24
drama_0023,Happiness,"Action,  Thriller,  Drama,  Fantasy ",8.9,12
